station_code,city_name,lat,long,station_name,year,yearly_rain
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1967,NA
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1968,779
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1969,553
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1970,821
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1971,NA
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1972,525
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1973,NA
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1974,803
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1975,565
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1976,557
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1977,426
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1978,644
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1979,NA
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1980,783
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1981,780
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1982,754
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1983,732
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1984,421
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1985,NA
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1986,855
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1987,716
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1988,781
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1989,670
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1990,NA
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1991,879
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1992,NA
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1993,NA
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1994,680
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1995,725
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1996,814
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1997,NA
009151,Perth,-31.96,115.79,Subiaco Wastewater Treatment Plant,1998,NA
